
[19-Aug-2026 15:05:31] run07 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=472.1s
[19-Aug-2026 15:09:24] run07 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=704.6s
[19-Aug-2026 15:13:30] run07 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=950.7s
[19-Aug-2026 15:17:51] run07 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1211.8s
[19-Aug-2026 15:21:19] run07 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1419.5s
[19-Aug-2026 15:26:06] run07 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1706.8s
[19-Aug-2026 15:30:24] run07 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=1964.9s
[19-Aug-2026 15:35:20] run07 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2260.4s
[19-Aug-2026 15:40:15] run07 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2556.0s
[19-Aug-2026 15:44:56] run07 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=2836.4s
[19-Aug-2026 15:49:23] run07 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=3104.2s
[19-Aug-2026 15:54:52] run07 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3432.7s
[19-Aug-2026 15:59:48] run07 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=3728.5s
[19-Aug-2026 16:05:11] run07 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=4051.5s
[19-Aug-2026 16:05:11] run07 DONE best(penalized)=0.0000 raw=0.0000 elapsed=4051.5s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run07_CAMPAIGN.mat
[19-Aug-2026 16:08:40] run08 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=209.5s
[19-Aug-2026 16:13:13] run08 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=482.6s
[19-Aug-2026 16:16:43] run08 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=692.3s
[19-Aug-2026 16:20:01] run08 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=890.0s
[19-Aug-2026 16:24:05] run08 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1134.5s
[19-Aug-2026 16:28:03] run08 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1372.0s
[19-Aug-2026 16:31:47] run08 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1595.8s
[19-Aug-2026 16:36:07] run08 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=1856.5s
[19-Aug-2026 16:40:01] run08 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2090.3s
[19-Aug-2026 16:44:27] run08 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2356.7s
[19-Aug-2026 16:49:05] run08 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=2634.1s
[19-Aug-2026 16:53:46] run08 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=2915.7s
[19-Aug-2026 16:58:38] run08 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3207.1s
[19-Aug-2026 17:04:11] run08 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=3540.5s
[19-Aug-2026 17:09:34] run08 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=3862.9s
[19-Aug-2026 17:09:34] run08 DONE best(penalized)=0.0000 raw=0.0000 elapsed=3862.9s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run08_CAMPAIGN.mat
[19-Aug-2026 17:13:33] run09 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=239.5s
[19-Aug-2026 17:16:33] run09 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=419.8s
[19-Aug-2026 17:20:13] run09 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=639.8s
[19-Aug-2026 17:24:23] run09 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=889.5s
[19-Aug-2026 17:27:52] run09 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1098.6s
[19-Aug-2026 17:32:06] run09 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1351.9s
[19-Aug-2026 17:36:33] run09 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1619.2s
[19-Aug-2026 17:41:20] run09 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=1906.2s
[19-Aug-2026 17:46:00] run09 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2186.8s
[19-Aug-2026 17:51:21] run09 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2507.0s
[19-Aug-2026 17:56:37] run09 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=2823.6s
[19-Aug-2026 18:02:10] run09 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=3156.3s
[19-Aug-2026 18:08:07] run09 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3513.3s
[19-Aug-2026 18:13:50] run09 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=3855.9s
[19-Aug-2026 18:19:15] run09 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=4181.1s
[19-Aug-2026 18:19:15] run09 DONE best(penalized)=0.0000 raw=0.0000 elapsed=4181.1s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run09_CAMPAIGN.mat
[19-Aug-2026 18:23:02] run10 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=227.4s
