FE,IGD_mean,IGD_std,HV_mean,HV_std
10500,8.13367781299319e-05,9.13342909022854e-05,41654.0214290083,0.000257680202547442
10550,8.5622343044682e-05,9.03977157862268e-05,41654.0214174177,0.000256616060492668
10600,8.55930327179779e-05,9.03831578337406e-05,41654.0214175572,0.000256533106178232
10650,8.74085012643638e-05,9.18297987141089e-05,41654.0214054788,0.000271889016351894
10700,8.74085012643638e-05,9.18297987141089e-05,41654.0214054788,0.000271889016351894
10750,9.16940661791139e-05,9.06017118708067e-05,41654.0213938881,0.000269837167983926
10800,9.1723376505818e-05,9.06141932264533e-05,41654.0213937485,0.000269903371615591
10850,9.78260069630523e-05,9.03885142678525e-05,41654.0213586973,0.000305459238040364
10900,9.96137621788323e-05,9.15583020691513e-05,41654.0213353764,0.000337636070677779
10950,0.000100917895572016,8.67558460804225e-05,41654.0213588369,0.000305387349139435
11000,0.000105203460486766,8.47511152338922e-05,41654.0213472462,0.000301714081353389
11050,0.000109547646054924,8.24820653000762e-05,41654.0213353764,0.00029759230558865
11100,0.000109547646054924,8.24820653000762e-05,41654.0213353764,0.00029759230558865
11150,0.000105262081140174,8.47681244419074e-05,41654.0213469671,0.000301787795861819
11200,0.00010344501559769,8.36190083706981e-05,41654.0213704276,0.000264187230330309
11250,9.915945068294e-05,8.55591741305803e-05,41654.0213820183,0.000267336927631825
11300,9.30981908304633e-05,8.58958287063457e-05,41654.0214053392,0.00025524552448806
11350,9.74130660719175e-05,8.42942450342513e-05,41654.0213936089,0.000253122664173377
11400,9.3058417221804e-05,8.58781204231653e-05,41654.0214056874,0.000255044002823345
11450,9.3058417221804e-05,8.58781204231653e-05,41654.0214056874,0.000255044002823345
11500,0.000101688167704713,8.2414162120854e-05,41654.0213822269,0.000250242416786933
11550,0.000105973732619463,8.02585762469173e-05,41654.0213706362,0.000246884850868385
11600,0.000105973732619463,8.02585762469173e-05,41654.0213706362,0.000246884850868385
11650,0.000101688167704713,8.2414162120854e-05,41654.0213822269,0.000250242416786933
11700,9.96551103772434e-05,8.08874724187165e-05,41654.0213923317,0.000238659705221227
11750,9.95964897238352e-05,8.08654423707483e-05,41654.0213926108,0.000238511566460365
11800,9.95964897238352e-05,8.08654423707483e-05,41654.0213926108,0.000238511566460365
11850,9.95085587437229e-05,8.08323035816789e-05,41654.0213930296,0.00023828855132539
11900,8.66518639994724e-05,8.54391959036781e-05,41654.0214278016,0.00024360615805857
11950,9.08378558016645e-05,8.40429814061506e-05,41654.0214215351,0.000222772504888397
12000,9.94089856311648e-05,8.07237664459901e-05,41654.0213983538,0.000218853013996994
12050,9.94089856311648e-05,8.07237664459901e-05,41654.0213983538,0.000218853013996994
12100,9.08378558016645e-05,8.40429814061506e-05,41654.0214215351,0.000222772504888397
12150,9.51234207164147e-05,8.25152954046212e-05,41654.0214099444,0.000221135912540855
12200,9.59997942543423e-05,8.48851242862779e-05,41654.0213983538,0.000225210186165279
12250,9.59997942543423e-05,8.48851242862779e-05,41654.0213983538,0.000225210186165279
12300,9.60291045810464e-05,8.48969082891559e-05,41654.0213982142,0.000225292366333649
12350,9.59997942543423e-05,8.48851242862779e-05,41654.0213983538,0.000225210186165279
12400,9.84682502772477e-05,8.18110788536714e-05,41654.0214068692,0.000178062874551867
12450,0.000103071117959857,7.94431239276795e-05,41654.0213951389,0.00016691207639396
12500,0.000103071117959857,7.94431239276795e-05,41654.0213951389,0.00016691207639396
12550,0.000100335399316775,7.35816535242581e-05,41654.0213990375,0.000170818467493217
