[2026-09-12 16:04:27] === watchdog_campaign start: Proj=A Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-12 16:04:30] ----- Bat dau run01 (1/20) -----
[2026-09-12 17:04:21] run02 : poll - elapsed=540s log_stale=51s
[2026-09-12 17:04:41] run02 : poll - elapsed=560s log_stale=71s
[2026-09-12 17:05:01] run02 : poll - elapsed=581s log_stale=91s
[2026-09-12 17:05:21] run02 : poll - elapsed=601s log_stale=111s
[2026-09-12 17:05:41] run02 : poll - elapsed=621s log_stale=131s
[2026-09-12 17:06:01] run02 : poll - elapsed=641s log_stale=10s
[2026-09-12 17:06:21] run02 : poll - elapsed=661s log_stale=30s
[2026-09-12 17:06:41] run02 : poll - elapsed=681s log_stale=50s
[2026-09-12 17:07:01] run02 : poll - elapsed=701s log_stale=70s
[2026-09-12 17:07:21] run02 : poll - elapsed=721s log_stale=90s
[2026-09-12 17:07:41] run02 : poll - elapsed=741s log_stale=110s
[2026-09-12 17:08:01] run02 : poll - elapsed=761s log_stale=130s
[2026-09-12 17:08:21] run02 : poll - elapsed=781s log_stale=11s
[2026-09-12 17:08:41] run02 : poll - elapsed=801s log_stale=31s
[2026-09-12 17:09:01] run02 : poll - elapsed=821s log_stale=51s
[2026-09-12 17:09:21] run02 : poll - elapsed=841s log_stale=71s
[2026-09-12 17:09:41] run02 : poll - elapsed=861s log_stale=91s
[2026-09-12 17:10:01] run02 : poll - elapsed=881s log_stale=111s
[2026-09-12 17:10:21] run02 : poll - elapsed=901s log_stale=131s
[2026-09-12 17:10:42] run02 : poll - elapsed=921s log_stale=11s
[2026-09-12 17:11:02] run02 : poll - elapsed=941s log_stale=31s
[2026-09-12 17:11:22] run02 : poll - elapsed=961s log_stale=51s
[2026-09-12 17:11:42] run02 : poll - elapsed=981s log_stale=71s
[2026-09-12 17:12:02] run02 : poll - elapsed=1001s log_stale=91s
[2026-09-12 17:12:22] run02 : poll - elapsed=1021s log_stale=111s
[2026-09-12 17:12:42] run02 : poll - elapsed=1041s log_stale=131s
[2026-09-12 17:13:02] run02 : poll - elapsed=1061s log_stale=11s
[2026-09-12 17:13:22] run02 : poll - elapsed=1081s log_stale=31s
[2026-09-12 17:13:42] run02 : poll - elapsed=1101s log_stale=51s
[2026-09-12 17:14:02] run02 : poll - elapsed=1121s log_stale=71s
[2026-09-12 17:14:22] run02 : poll - elapsed=1141s log_stale=91s
[2026-09-12 17:14:42] run02 : poll - elapsed=1161s log_stale=111s
[2026-09-12 17:15:02] run02 : poll - elapsed=1181s log_stale=131s
[2026-09-12 17:15:22] run02 : poll - elapsed=1201s log_stale=12s
[2026-09-12 17:15:42] run02 : poll - elapsed=1221s log_stale=32s
[2026-09-12 17:16:02] run02 : poll - elapsed=1241s log_stale=52s
[2026-09-12 17:16:22] run02 : poll - elapsed=1261s log_stale=72s
[2026-09-12 17:16:42] run02 : poll - elapsed=1281s log_stale=92s
[2026-09-12 17:17:02] run02 : poll - elapsed=1301s log_stale=112s
[2026-09-12 17:17:22] run02 : poll - elapsed=1321s log_stale=132s
[2026-09-12 17:17:42] run02 : poll - elapsed=1341s log_stale=11s
[2026-09-12 17:18:02] run02 : poll - elapsed=1361s log_stale=31s
[2026-09-12 17:18:22] run02 : poll - elapsed=1381s log_stale=51s
[2026-09-12 17:18:42] run02 : poll - elapsed=1401s log_stale=71s
[2026-09-12 17:19:02] run02 : poll - elapsed=1421s log_stale=92s
[2026-09-12 17:19:22] run02 : poll - elapsed=1441s log_stale=112s
[2026-09-12 17:19:42] run02 : poll - elapsed=1461s log_stale=132s
[2026-09-12 17:20:02] run02 : poll - elapsed=1481s log_stale=12s
[2026-09-12 17:20:22] run02 : poll - elapsed=1501s log_stale=32s
[2026-09-12 17:20:42] run02 : poll - elapsed=1521s log_stale=52s
[2026-09-12 17:21:02] run02 : poll - elapsed=1541s log_stale=72s
[2026-09-12 17:21:22] run02 : poll - elapsed=1561s log_stale=92s
[2026-09-12 17:21:42] run02 : poll - elapsed=1581s log_stale=112s
[2026-09-12 17:22:02] run02 : poll - elapsed=1601s log_stale=132s
[2026-09-12 17:22:22] run02 : poll - elapsed=1621s log_stale=13s
[2026-09-12 17:22:42] run02 : poll - elapsed=1641s log_stale=33s
[2026-09-12 17:23:02] run02 : poll - elapsed=1661s log_stale=53s
[2026-09-12 17:23:22] run02 : poll - elapsed=1681s log_stale=73s
[2026-09-12 17:23:42] run02 : poll - elapsed=1702s log_stale=93s
[2026-09-12 17:24:02] run02 : poll - elapsed=1722s log_stale=113s
[2026-09-12 17:24:22] run02 : poll - elapsed=1742s log_stale=133s
[2026-09-12 17:24:42] run02 : poll - elapsed=1762s log_stale=13s
[2026-09-12 17:25:02] run02 : poll - elapsed=1782s log_stale=33s
[2026-09-12 17:25:22] run02 : poll - elapsed=1802s log_stale=53s
[2026-09-12 17:25:42] run02 : poll - elapsed=1822s log_stale=73s
[2026-09-12 17:26:02] run02 : poll - elapsed=1842s log_stale=93s
[2026-09-12 17:26:22] run02 : poll - elapsed=1862s log_stale=113s
[2026-09-12 17:26:42] run02 : poll - elapsed=1882s log_stale=133s
[2026-09-12 17:27:02] run02 : poll - elapsed=1902s log_stale=13s
[2026-09-12 17:27:22] run02 : poll - elapsed=1922s log_stale=33s
[2026-09-12 17:27:42] run02 : poll - elapsed=1942s log_stale=53s
[2026-09-12 17:28:02] run02 : poll - elapsed=1962s log_stale=73s
[2026-09-12 17:28:22] run02 : poll - elapsed=1982s log_stale=93s
[2026-09-12 17:28:42] run02 : poll - elapsed=2002s log_stale=113s
[2026-09-12 17:29:02] run02 : poll - elapsed=2022s log_stale=133s
[2026-09-12 17:29:22] run02 : poll - elapsed=2042s log_stale=12s
[2026-09-12 17:29:43] run02 : poll - elapsed=2062s log_stale=32s
[2026-09-12 17:30:03] run02 : poll - elapsed=2082s log_stale=52s
[2026-09-12 17:30:23] run02 : poll - elapsed=2102s log_stale=72s
[2026-09-12 17:30:43] run02 : poll - elapsed=2122s log_stale=92s
[2026-09-12 17:31:03] run02 : poll - elapsed=2142s log_stale=113s
[2026-09-12 17:31:23] run02 : poll - elapsed=2162s log_stale=133s
[2026-09-12 17:31:43] run02 : poll - elapsed=2182s log_stale=13s
[2026-09-12 17:32:03] run02 : poll - elapsed=2202s log_stale=33s
[2026-09-12 17:32:23] run02 : poll - elapsed=2222s log_stale=53s
[2026-09-12 17:32:43] run02 : poll - elapsed=2242s log_stale=73s
[2026-09-12 17:33:03] run02 : poll - elapsed=2262s log_stale=93s
[2026-09-12 17:33:23] run02 : poll - elapsed=2282s log_stale=113s
[2026-09-12 17:33:43] run02 : poll - elapsed=2302s log_stale=133s
[2026-09-12 17:34:03] run02 : poll - elapsed=2322s log_stale=12s
[2026-09-12 17:34:23] run02 : poll - elapsed=2342s log_stale=32s
[2026-09-12 17:34:43] run02 : poll - elapsed=2362s log_stale=52s
[2026-09-12 17:35:03] run02 : poll - elapsed=2382s log_stale=72s
[2026-09-12 17:35:23] run02 : poll - elapsed=2402s log_stale=92s
[2026-09-12 17:35:43] run02 : poll - elapsed=2422s log_stale=112s
[2026-09-12 17:36:03] run02 : poll - elapsed=2442s log_stale=132s
[2026-09-12 17:36:23] run02 : poll - elapsed=2462s log_stale=12s
[2026-09-12 17:36:43] run02 : poll - elapsed=2482s log_stale=32s
[2026-09-12 17:37:03] run02 : poll - elapsed=2502s log_stale=52s
[2026-09-12 17:37:23] run02 : poll - elapsed=2522s log_stale=72s
[2026-09-12 17:37:43] run02 : poll - elapsed=2542s log_stale=92s
[2026-09-12 17:38:03] run02 : poll - elapsed=2562s log_stale=112s
[2026-09-12 17:38:23] run02 : poll - elapsed=2582s log_stale=132s
[2026-09-12 17:38:43] run02 : poll - elapsed=2602s log_stale=12s
[2026-09-12 17:39:03] run02 : poll - elapsed=2622s log_stale=32s
[2026-09-12 17:39:23] run02 : poll - elapsed=2642s log_stale=52s
[2026-09-12 17:39:43] run02 : poll - elapsed=2662s log_stale=72s
[2026-09-12 17:40:03] run02 : poll - elapsed=2682s log_stale=92s
[2026-09-12 17:40:23] run02 : poll - elapsed=2702s log_stale=112s
[2026-09-12 17:40:43] run02 : poll - elapsed=2722s log_stale=132s
[2026-09-12 17:41:03] run02 : poll - elapsed=2742s log_stale=12s
[2026-09-12 17:41:23] run02 : poll - elapsed=2762s log_stale=32s
[2026-09-12 17:41:43] run02 : poll - elapsed=2782s log_stale=52s
[2026-09-12 17:42:03] run02 : poll - elapsed=2803s log_stale=72s
[2026-09-12 17:42:23] run02 : poll - elapsed=2823s log_stale=92s
[2026-09-12 17:42:43] run02 : poll - elapsed=2843s log_stale=112s
[2026-09-12 17:43:03] run02 : poll - elapsed=2863s log_stale=132s
[2026-09-12 17:43:23] run02 : poll - elapsed=2883s log_stale=12s
[2026-09-12 17:43:43] run02 : poll - elapsed=2903s log_stale=32s
[2026-09-12 17:44:03] run02 : poll - elapsed=2923s log_stale=52s
[2026-09-12 17:44:23] run02 : poll - elapsed=2943s log_stale=72s
[2026-09-12 17:44:43] run02 : poll - elapsed=2963s log_stale=92s
[2026-09-12 17:45:03] run02 : poll - elapsed=2983s log_stale=112s
[2026-09-12 17:45:23] run02 : poll - elapsed=3003s log_stale=132s
[2026-09-12 17:45:43] run02 : THANH CONG - D:\ResearchLab\02_Projects\02_Projects\MOSFOA paper 2\code\results\MOSFOA2_A_Np8_Maxit20_run02_FINAL.mat da xuat hien.
[2026-09-12 17:45:43] ----- Bat dau run03 (3/20) -----
[2026-09-12 17:45:47] run03 : launching MATLAB (attempt 1)
[2026-09-12 17:46:07] run03 : poll - elapsed=20s log_stale=9s
[2026-09-12 17:46:27] run03 : poll - elapsed=40s log_stale=15s
[2026-09-12 17:46:47] run03 : poll - elapsed=60s log_stale=35s
[2026-09-12 17:47:07] run03 : poll - elapsed=80s log_stale=55s
[2026-09-12 17:47:27] run03 : poll - elapsed=100s log_stale=75s
[2026-09-12 17:47:47] run03 : poll - elapsed=120s log_stale=95s
[2026-09-12 17:48:07] run03 : poll - elapsed=140s log_stale=115s
[2026-09-12 17:48:27] run03 : poll - elapsed=160s log_stale=135s
[2026-09-12 17:48:47] run03 : poll - elapsed=180s log_stale=155s
[2026-09-12 17:49:07] run03 : poll - elapsed=200s log_stale=175s
