[2026-09-11 17:56:52] === watchdog_campaign start: Proj=B Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-11 17:56:55] ----- Bat dau run01 (1/20) -----
[2026-09-11 19:42:28] run02 : poll - elapsed=2342s log_stale=55s
[2026-09-11 19:42:48] run02 : poll - elapsed=2362s log_stale=75s
[2026-09-11 19:43:08] run02 : poll - elapsed=2382s log_stale=95s
[2026-09-11 19:43:28] run02 : poll - elapsed=2402s log_stale=115s
[2026-09-11 19:43:48] run02 : poll - elapsed=2422s log_stale=135s
[2026-09-11 19:44:08] run02 : poll - elapsed=2442s log_stale=155s
[2026-09-11 19:44:29] run02 : poll - elapsed=2462s log_stale=175s
[2026-09-11 19:44:49] run02 : poll - elapsed=2482s log_stale=11s
[2026-09-11 19:45:09] run02 : poll - elapsed=2502s log_stale=31s
[2026-09-11 19:45:29] run02 : poll - elapsed=2522s log_stale=51s
[2026-09-11 19:45:49] run02 : poll - elapsed=2542s log_stale=71s
[2026-09-11 19:46:09] run02 : poll - elapsed=2562s log_stale=91s
[2026-09-11 19:46:29] run02 : poll - elapsed=2582s log_stale=111s
[2026-09-11 19:46:49] run02 : poll - elapsed=2602s log_stale=131s
[2026-09-11 19:47:09] run02 : poll - elapsed=2622s log_stale=151s
[2026-09-11 19:47:29] run02 : poll - elapsed=2642s log_stale=171s
[2026-09-11 19:47:49] run02 : poll - elapsed=2662s log_stale=5s
[2026-09-11 19:48:09] run02 : poll - elapsed=2682s log_stale=26s
[2026-09-11 19:48:29] run02 : poll - elapsed=2702s log_stale=46s
[2026-09-11 19:48:49] run02 : poll - elapsed=2723s log_stale=66s
[2026-09-11 19:49:09] run02 : poll - elapsed=2743s log_stale=86s
[2026-09-11 19:49:29] run02 : poll - elapsed=2763s log_stale=106s
[2026-09-11 19:49:49] run02 : poll - elapsed=2783s log_stale=126s
[2026-09-11 19:50:09] run02 : poll - elapsed=2803s log_stale=146s
[2026-09-11 19:50:29] run02 : poll - elapsed=2823s log_stale=166s
[2026-09-11 19:50:49] run02 : poll - elapsed=2843s log_stale=2s
[2026-09-11 19:51:09] run02 : poll - elapsed=2863s log_stale=22s
[2026-09-11 19:51:29] run02 : poll - elapsed=2883s log_stale=42s
[2026-09-11 19:51:49] run02 : poll - elapsed=2903s log_stale=62s
[2026-09-11 19:52:09] run02 : poll - elapsed=2923s log_stale=82s
[2026-09-11 19:52:29] run02 : poll - elapsed=2943s log_stale=102s
[2026-09-11 19:52:49] run02 : poll - elapsed=2963s log_stale=122s
[2026-09-11 19:53:09] run02 : poll - elapsed=2983s log_stale=142s
[2026-09-11 19:53:29] run02 : poll - elapsed=3003s log_stale=162s
[2026-09-11 19:53:49] run02 : poll - elapsed=3023s log_stale=182s
[2026-09-11 19:54:09] run02 : poll - elapsed=3043s log_stale=17s
[2026-09-11 19:54:29] run02 : poll - elapsed=3063s log_stale=37s
[2026-09-11 19:54:49] run02 : poll - elapsed=3083s log_stale=57s
