frame,pile_type,top_joint,bottom_joint,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,status,spring_K33_tm,orientation
143,Steel_D1016,117,309,14.65,24.0,5.5,13.9502626426492,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
144,Steel_D1016,139,311,19.75,24.0,5.5,19.0502626426493,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
145,Steel_D1016,164,313,24.85,24.0,5.5,24.1502626426493,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
146,Steel_D1016,189,315,29.95,24.0,5.5,29.2502626426493,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
147,Steel_D1016,49,317,0.65,0.0,5.5,1.3579099575889,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
148,Steel_D1016,53,319,5.75,0.0,5.5,6.4579099575889,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
149,Steel_D1016,85,321,10.85,0.0,5.5,11.5579099575889,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
150,Steel_D1016,123,323,15.95,0.0,5.5,16.6579099575889,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
151,Steel_D1016,148,325,21.05,0.0,5.5,21.7579099575889,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
152,Steel_D1016,172,329,26.15,0.0,5.5,26.8579099575889,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
153,Steel_D1016,197,331,31.25,0.0,5.5,31.9579099575889,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
154,Steel_D1016,46,333,-0.650000000000005,0.0,5.5,-0.65003485546334,-0.0027421267078727,-19.3254890173075,24.8254891687743,9052.639,treatment_spring,315144.0,raked_6to1
155,Steel_D1016,51,335,4.44999999999999,0.0,5.5,3.76818478340687,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
156,Steel_D1016,83,337,9.54999999999999,0.0,5.5,8.86818478340687,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
157,Steel_D1016,121,339,14.65,0.0,5.5,13.9681847834069,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
158,Steel_D1016,143,341,19.75,0.0,5.5,19.0681847834069,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
159,Steel_D1016,170,343,24.85,0.0,5.5,24.1681847834069,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
160,Steel_D1016,195,345,29.95,0.0,5.5,29.2681847834069,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
161,Steel_D1016,40,347,0.65,24.0,5.5,1.4423808332069,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
162,Steel_D1016,44,351,5.75,24.0,5.5,6.5423808332069,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
163,Steel_D1016,81,353,10.85,24.0,5.5,11.6423808332069,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
164,Steel_D1016,119,355,15.95,24.0,5.5,16.7423808332069,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
165,Steel_D1016,141,357,21.05,24.0,5.5,21.8423808332069,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
166,Steel_D1016,166,359,26.15,24.0,5.5,26.9423808332069,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
167,Steel_D1016,193,361,31.25,24.0,5.5,32.0423808332069,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
168,Steel_D1016,397,363,72.05,24.0,5.5,72.7497373573507,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
169,Steel_D1016,373,365,66.95,24.0,5.5,67.6497373573508,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
170,Steel_D1016,334,367,61.85,24.0,5.5,62.5497373573507,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
171,Steel_D1016,310,370,56.75,24.0,5.5,57.4497373573508,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
172,Steel_D1016,285,374,51.65,24.0,5.5,52.3497373573507,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
173,Steel_D1016,261,376,46.55,24.0,5.5,47.2497373573507,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
174,Steel_D1016,239,378,41.45,24.0,5.5,42.1497373573507,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
175,Steel_D1016,399,380,70.75,0.0,5.5,70.0420900424111,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
176,Steel_D1016,375,382,65.65,0.0,5.5,64.9420900424111,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
177,Steel_D1016,336,384,60.55,0.0,5.5,59.8420900424111,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
178,Steel_D1016,312,386,55.45,0.0,5.5,54.7420900424111,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
179,Steel_D1016,287,388,50.35,0.0,5.5,49.6420900424111,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
180,Steel_D1016,263,390,45.25,0.0,5.5,44.5420900424111,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
181,Steel_D1016,237,392,40.15,24.0,5.5,40.1499498706513,24.0011334324062,-23.1142431502572,28.6142431727492,25220.999,treatment_spring,3500000.0,raked_6to1
182,Steel_D1016,401,396,72.05,0.0,5.5,72.7318152165931,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
183,Steel_D1016,377,398,66.95,0.0,5.5,67.6318152165931,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
184,Steel_D1016,338,400,61.85,0.0,5.5,62.5318152165931,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
185,Steel_D1016,314,402,56.75,0.0,5.5,57.4318152165931,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
186,Steel_D1016,289,403,51.65,0.0,5.5,52.3318152165931,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
187,Steel_D1016,265,405,46.55,0.0,5.5,47.2318152165931,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
188,Steel_D1016,243,406,41.45,0.0,5.5,42.1318152165931,-4.00868712179643,-18.941758476689,24.7776916169128,6.011,treatment_spring,315144.0,raked_6to1
189,Steel_D1016,395,408,70.75,24.0,5.5,69.9576191667931,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
190,Steel_D1016,368,410,65.65,24.0,5.5,64.8576191667931,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
191,Steel_D1016,332,411,60.55,24.0,5.5,59.7576191667931,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
192,Steel_D1016,308,413,55.45,24.0,5.5,54.6576191667931,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
193,Steel_D1016,283,415,50.35,24.0,5.5,49.5576191667931,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
194,Steel_D1016,259,416,45.25,24.0,5.5,44.4576191667931,28.6823388155234,-23.0091274798966,28.9019465405565,6.003,control_fixed,,raked_6to1
195,Steel_D1016,241,418,40.15,0.0,5.5,40.1499651445367,-0.0027421267078727,-19.3254890173075,24.8254891687743,9052.639,treatment_spring,315144.0,raked_6to1
196,Steel_D1016,215,420,35.05,24.0,5.5,34.3502626426493,19.349732164563,-22.8182960492434,28.7061058738932,6.022,treatment_spring,3500000.0,raked_6to1
197,Steel_D1016,221,423,36.35,0.0,5.5,37.0579099575889,4.12924159654957,-19.6648279754096,25.5111806802956,6.007,treatment_spring,403739.0,raked_6to1
