frame,pile_type,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,orientation,spring_K33_tm,Y_s,Z_s,on_segment,H0_vertical_m,H0_along_axis_m,applicable_cases,D_m,t_m,E_Tm2,I_m4,b_equiv_m
58,BTCT_D800,61.2,-5.7,5.5,64.8743425316749,-6.34300994304309,-16.8872441394184,22.6958796918042,6.002,raked_6to1,191081.0,-6.1422538670738716,-9.897655045469747,True,15.397655045469747,15.404004978648304,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
59,BTCT_D800,8.881784197001249e-16,-21.0,5.5,9e-16,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
60,BTCT_D800,40.8,18.0,5.5,40.8,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
61,BTCT_D800,8.881784197001249e-16,-15.75,5.5,9e-16,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
62,BTCT_D800,8.881784197001249e-16,-10.5,5.5,9e-16,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
63,BTCT_D800,5.1,-21.0,5.5,5.1,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
64,BTCT_D800,45.9,18.0,5.5,45.9,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
65,BTCT_D800,5.1,-15.75,5.5,5.1,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
66,BTCT_D800,5.1,-10.5,5.5,5.1,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
67,BTCT_D800,10.2,-21.0,5.5,10.2,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
68,BTCT_D800,51.0,18.0,5.5,51.0,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
69,BTCT_D800,15.3,-21.0,5.5,15.3,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
70,BTCT_D800,15.3,-15.75,5.5,15.3,-15.75,-15.5,21.0,,vertical,144666.0,-15.75,-13.11625,True,18.61625,18.61625,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
71,BTCT_D800,15.3,-10.5,5.5,15.3,-10.5,-16.4,21.9,,vertical,166015.0,-10.5,-11.3575,True,16.8575,16.8575,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
72,BTCT_D800,56.1,18.0,5.5,56.1,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
73,BTCT_D800,20.4,-21.0,5.5,20.4,-21.0,-14.73,20.23,,vertical,129825.0,-21.0,-14.875,False,20.375,20.375,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
